artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
The Sidekicks,445fJWU3MB3du1Z8rK0XSa,Twin's Twist,0.536,0.568,233080,0.846,0.0976,11,0.0496,-3.602,1,0.0517,121.639,4,0.7190000000000001,0
Naaz,04Kyk3InlLtm1NiMdDtIpk,Mess Me Up,0.585,0.835,148085,0.535,0.0,0,0.1369999999999999,-7.579,1,0.09,107.929,4,0.596,27
Inner State 81,05BdRBBuU2rbRsIYaJmEuI,Let Me Get Close to You (G O L D),0.00302,0.434,209567,0.7809999999999999,0.7140000000000001,5,0.28,-10.697,0,0.215,137.196,4,0.523,34
Sneijder,0QIFtNs4beUuieykrGHzvB,Awakening (ASOT 856),0.0014199999999999,0.472,249750,0.962,0.93,7,0.322,-11.507,0,0.0899,138.017,4,0.0772,13
Hazem Beltagui,0OSMSD6FntBNWfO7XLSEYI,Nelly (ASOT 860),0.000324,0.405,153977,0.763,0.835,9,0.289,-12.076,0,0.0394,137.284,4,0.0391,8
Jean Grae,24HUGS5UUE9RS45MxJsxno,Ohsh,0.488,0.6409999999999999,271251,0.575,0.00183,2,0.591,-11.02,1,0.319,87.76799999999999,4,0.648,28
Arham,1PdKMqxDG4AbgK3LFR5nMU,Cinta Amarilla,0.64,0.715,238320,0.506,0.0,7,0.0988,-10.921,1,0.347,113.677,4,0.486,30
Àlamode,0W6e03vyKq7ggVex5ckLza,My Mistake,0.0117,0.823,288680,0.619,0.00159,3,0.179,-9.671,1,0.0354,130.02700000000002,4,0.861,4
Sorcha Richardson,4ZVjxQunpIQgixtp8M2dOX,Can't We Pretend,0.892,0.309,225533,0.428,0.0,0,0.0856,-8.218,1,0.0391,81.781,4,0.293,42
The Neighbourhood,4Cdb1dE3pfiWlqnAIcImyQ,24/7,0.00213,0.5870000000000001,219973,0.7440000000000001,0.00181,7,0.114,-4.611000000000001,0,0.0742,118.962,4,0.236,57
John Legend,2NcFoIbREbGpHcSVgAigUX,No Place Like Home,0.221,0.629,237013,0.799,5.35e-06,0,0.107,-6.013999999999999,1,0.173,81.082,4,0.3289999999999999,58
SKI MASK MAFIA,6zbmmfGhe7RY09tzVp3e6B,Take a Toke,0.0579,0.7929999999999999,301760,0.682,0.0,11,0.118,-10.575,0,0.0415,136.06,4,0.4629999999999999,17
Calmani & Grey,3xypCjpg2r4HLhwmVYiTLr,Winter Ocean - LIZOT Radio Edit,0.0461,0.7979999999999999,215287,0.7020000000000001,0.000892,3,0.255,-5.209,1,0.0358,122.004,4,0.266,27
Roshan Prince,2JdPnS5FuRi64ZwYFNngUi,Laavaan Phere,0.228,0.833,366679,0.8420000000000001,0.0,11,0.0469,-2.372,1,0.0519,110.016,4,0.715,1
Los Del Arroyo,5JOuE0v40WqtTS2Le0xw31,Diez Charolas - En Vivo,0.7959999999999999,0.565,237226,0.511,0.000302,7,0.402,-7.421,1,0.039,97.521,3,0.764,25
Brighten,0O8veJU385Gu0PfIXupuov,Easy to Fall in Love (Acoustic),0.787,0.527,196057,0.441,3.4e-05,4,0.236,-7.775,1,0.0297,159.789,4,0.568,24
City Girl,1f0tXgfm9bVZR3l3lnjPQN,Sunset Lullaby,0.917,0.492,218667,0.266,0.914,10,0.631,-12.562,1,0.0543,90.083,4,0.128,33
Master Mayko,2SZHBlViQs6cYz1d716OVo,Mwen.,0.145,0.706,370338,0.5429999999999999,1.4e-05,1,0.193,-14.412,0,0.0933,90.971,4,0.946,22
R.E.M.,1SxG6KabaaHgn3IqUk4bzv,Walk Unafraid - Live From John Peel Public Session On BBC Radio 1 / 1998,0.696,0.434,292453,0.7240000000000001,0.0106,9,0.284,-12.357,0,0.123,127.302,4,0.31,28
Image Sounds,6Y2ayUMNLBuZKRUBuGWR0o,Ancient Plans 2,0.5539999999999999,0.626,157201,0.551,0.145,10,0.3379999999999999,-7.705,0,0.0287,134.004,4,0.127,0
Sofia's Choice,44McOkwrQvgCzDxd5NZV6a,Soul Blanket,0.408,0.573,241227,0.19,0.85,1,0.131,-8.549,0,0.0425,180.048,4,0.0391,60
Tritonal,0gPledTl1lMHeT9RM72jli,Love U Right,0.445,0.619,200625,0.593,0.0,9,0.639,-4.088,0,0.0561,127.859,4,0.747,54
Erik Satie,3eQKdAyxLDVVjvixPCOFO8,Sports et divertissements: V. la pieuvre,0.856,0.596,61733,0.172,3.73e-06,10,0.118,-22.0,1,0.4639999999999999,143.53,3,0.645,9
Sad Frosty,5jrseRHkcD7OE0IhMpeOhZ,"A.D.H.D., Pt. 2",0.0927,0.7290000000000001,91559,0.706,0.0,1,0.121,-4.392,1,0.348,119.437,4,0.657,37
Grateful Dead,6knrMfSWJS4BTYUhAmqVOu,"China Doll - Live at Hec Edmundson Pavillion, University of Washington, Seattle, WA 5/21/74",0.73,0.514,333387,0.188,0.0117,9,0.812,-15.424,0,0.0315,106.35,4,0.149,41
Hardwell,0YFoUawskWM6iKHSyQgeNZ,Bigroom Never Dies (Mix Cut),0.00052,0.688,169846,0.967,0.0632,8,0.305,-4.747,1,0.0531,129.969,4,0.225,0
Jack-o-Lantern,3sCHZEdb9t4GVYxgZHqOqc,Private Intelligence,0.0703,0.727,388049,0.769,0.3939999999999999,4,0.0782,-7.263999999999999,0,0.049,119.93,4,0.535,10
Slow Fade Sailors,1NdgOyzoqE6FHIm7tM5ySM,"Be, Leave",0.99,0.308,221500,0.0279,0.909,4,0.1,-25.663,0,0.0308,72.119,4,0.258,63
Justin Jia,6SgD5DLB2dI2PJjnMXiZzX,Skyfall,0.4639999999999999,0.395,297537,0.21,0.205,0,0.0814,-16.38,0,0.0332,75.079,4,0.125,5
Lennon Stella,1ydOxBgLmEMfWffu6t4H5x,Bad,0.366,0.8270000000000001,177973,0.613,1.25e-05,8,0.093,-5.34,1,0.0621,137.96,4,0.747,68
Maroon 5,37L9lpOweL2PcMWtFhF8Ce,Denim Jacket,0.161,0.7809999999999999,232551,0.628,0.0,1,0.0917,-5.34,1,0.0668,117.992,4,0.288,55
Ludwig van Beethoven,2kTDztt3hg5vjoBHPVOyrB,"Piano Sonata No. 12 in A-Flat Major, Op. 26 ""Funeral March"": III. Marcia funebre sulla morte d'un eroe",0.991,0.494,434670,0.00441,0.906,3,0.1119999999999999,-23.744,1,0.0708,139.312,3,0.0713,15
Idan Raichel,28KXf3VydNTYGh9MXJ0Tbs,Ve'eem Tavo'ee Elay (And If You Will Come to Me) - Special Version,0.1639999999999999,0.644,231273,0.879,0.0,1,0.1639999999999999,-3.801,0,0.0359,110.074,4,0.534,29
Chuy Vega Y Los Nuevos Cadetes,0nPDUQDBoeB3hmgMiukyye,Blancas Gaviotas,0.168,0.82,174027,0.421,0.0228,4,0.064,-10.475,1,0.0555,96.653,4,0.758,10
Travis Cottrell,5FQPkShLN3ODrWrbS0kEcT,Abide With Me,0.606,0.298,226347,0.157,0.0,0,0.139,-15.478,1,0.0345,134.226,4,0.402,21
Ben Foster,3nXhZVekAzISpLYvANRYpE,Kite Flying,0.00584,0.51,88467,0.492,0.672,0,0.1,-12.483,1,0.0384,128.00799999999998,3,0.205,0
Phil Vassar,2LVPHMllMmOWpQmxlI222c,Fall Crazy,0.1369999999999999,0.434,202800,0.746,0.0,9,0.308,-3.732,1,0.0349,176.017,4,0.198,25
크르르 Krr,5uvD4UhWDmdvL0DtV0M4mF,흰 Whiteness,0.8640000000000001,0.374,256013,0.2689999999999999,0.0,4,0.16,-5.191,1,0.0347,136.187,4,0.395,7
LEGADO 7,6BET8Ed8Y0gkZiifbGp7Zq,El Michoacano,0.431,0.7979999999999999,149000,0.866,0.00043,10,0.181,-4.0,1,0.124,112.91,3,0.875,53
Ludwig van Beethoven,3VAIbNI3Acvc91DaJRkdWa,"Grosse Fuge in B-Flat Major, Op. 133",0.846,0.342,988480,0.195,0.424,10,0.0848,-15.642,1,0.048,126.036,4,0.0909,12
Netherfriends,1hREdLKHHgi7am3IJTMbx8,Easy Money,0.0721,0.8059999999999999,150518,0.434,5.01e-06,7,0.136,-9.454,1,0.3879999999999999,141.967,4,0.57,4
Greatest Kids Lullabies Land,1mdxn9q4UcREC2MBKtct39,Twinkle Twinkle Little Star,0.877,0.535,134928,0.289,2.39e-06,5,0.0677,-7.318,1,0.0263,75.156,5,0.252,0
Good News for the Clovers,3Femz2qNWFyWzoHxIUehtw,White Doves,0.226,0.428,197000,0.228,0.0691,10,0.1009999999999999,-17.085,1,0.0313,96.417,4,0.0798,1
Johann Sebastian Bach,0I0xD0sDpzLhtwYTt8Fpwp,"6 Chorales ""Schübler"", Op. 5: No. 1, Wachet auf, ruft uns die Stimme, BWV 645 (Arr. F. Busoni for Piano)",0.995,0.342,219000,0.0948,0.92,3,0.106,-23.974,1,0.044,126.062,4,0.369,14
Image Sounds,4qxgfneGhCO2MSq4ViLBit,Time of My Life,0.995,0.669,99583,0.312,0.924,0,0.12,-15.185,1,0.0467,160.183,4,0.845,0
Philip Glass,09eiq9BoJ5rQmj2Ui4XbR7,Études: No. 15,0.974,0.226,476920,0.266,0.893,9,0.12,-17.767,1,0.0421,140.12,3,0.115,16
Vaes,4jsy4xEBiz4YSnQ9GAhN9Z,La Vida Que Me Das,0.187,0.7140000000000001,232374,0.815,0.0,9,0.214,-5.739,1,0.0919,96.928,4,0.636,28
Sjana Rut,2f1JJ4khY0uZTt1VWhlTJz,Show me your truth,0.39,0.8059999999999999,213333,0.672,0.00121,0,0.11,-7.29,1,0.0859,135.017,4,0.31,21
Dobre Brothers,3EQdUQNOsdxTwk6CaxcyfF,Stop That,0.5579999999999999,0.725,129045,0.4679999999999999,0.00844,1,0.11,-14.943,0,0.337,139.865,4,0.145,46
GT Garza,2EePXGNcJPS86T6qnoPMkQ,Mach 5,0.1369999999999999,0.7020000000000001,171962,0.42,0.0143,3,0.106,-11.331,0,0.0516,119.985,4,0.249,11
Fushou.,2NoCBTM5PpH1xCP7MQWgEp,Paradise,0.161,0.7390000000000001,109967,0.284,0.428,7,0.125,-15.07,1,0.51,85.45700000000001,4,0.959,13
Orphaned Land,1eJeS2lssioWFGcgWSQKVh,The Cave,0.0014,0.311,490660,0.974,0.0016699999999999,4,0.627,-4.427,0,0.131,196.047,3,0.336,33
Lil Yase,6TBP30jP8jTjXfAD4mFsu5,GunPlay (feat. J. Stalin),0.223,0.7340000000000001,192000,0.609,0.0,9,0.0787,-9.355,1,0.126,95.0,4,0.236,12
Rival Consoles,0OK4OSZdHaAjesheZXIw7b,Hidden,0.631,0.512,458271,0.6890000000000001,0.902,5,0.103,-12.998,1,0.0426,137.023,4,0.0392,0
Speak Low If You Speak Love,1IZIbRxuZCROxg0JLIpurV,Have I Changed,0.774,0.6609999999999999,150994,0.254,0.00825,6,0.0735,-12.497,1,0.0388,126.107,4,0.161,28
Skves,1UmaQ5gpzucvJ9sfpzZXQH,Guide for Woman,0.0241,0.722,257033,0.503,0.0,11,0.161,-14.709,1,0.0378,144.034,4,0.96,24
Los Muecas,4NwE2LO6oV5tJp8UwfNYMu,Por Las Parrandas,0.153,0.596,224392,0.8420000000000001,2.46e-06,5,0.0664,-2.998,1,0.0285,109.347,4,0.962,9
Jake Miller,2NMR3j4wjSJgYr5t2Yeoc4,Starting Over,0.0128,0.762,205412,0.6,6.49e-06,2,0.133,-5.299,1,0.0614,84.994,4,0.616,34
Johann Sebastian Bach,08zxw3F03uyELPBKtZeDiP,Air on the G String,0.987,0.066,272653,0.131,0.89,2,0.1159999999999999,-15.544,1,0.048,67.669,4,0.0687,6
Los Marineros del Norte,03w56KGGI3VPuJRn1VDr2N,Ella No Quiere (En Vivo),0.0594,0.42,210312,0.5529999999999999,0.0,7,0.745,-5.268,1,0.0559,70.654,4,0.299,20
St. Vincent,3dMZsKfqoSkk6GjsTBhwBi,Los Ageless,0.0708,0.465,281347,0.6759999999999999,0.000112,5,0.0721,-7.053999999999999,0,0.0593,99.287,4,0.287,19
The Relaxation Principle,3iMMQyGSWswRlVbofOxIpr,A Good Book,0.287,0.4579999999999999,96207,0.257,0.782,6,0.106,-16.227999999999998,0,0.0382,115.985,4,0.138,34
Tristan Wells,3D2OZLeji3v6eKqrfWxdHG,See You Around,0.161,0.498,188040,0.489,0.0066599999999999,4,0.12,-12.147,0,0.0439,110.017,4,0.103,16
Shakewell,7sLY177pQEfGHkdY3Ectnx,2 Cups,0.0801,0.723,110400,0.397,3.61e-05,1,0.115,-9.194,1,0.315,150.16299999999998,4,0.423,47
Los Del Arroyo,6lZNSnBb80Xr04dftqfCen,Ponchito De La Lima - En Vivo,0.682,0.532,227686,0.5429999999999999,0.0,9,0.195,-5.79,1,0.0453,97.452,3,0.636,26
Shoreline Mafia,4d6ihidBTDF0SqwdTDsAyW,Pop Up,0.134,0.836,215107,0.489,0.0,0,0.0805,-10.484000000000002,1,0.306,147.055,4,0.732,60
Cypecore,7lI49JgjFRQr1TrX3Hcit1,Remembrance,0.000168,0.5820000000000001,432413,0.928,0.0155,1,0.0981,-6.1160000000000005,1,0.0524,100.015,4,0.253,23
Los Cachorros de Juan Villarreal,260RtxG7KnI8U5kHvAe42Y,Te Equivocaste,0.31,0.7959999999999999,192067,0.4639999999999999,0.000192,10,0.1689999999999999,-11.47,1,0.198,118.832,4,0.8029999999999999,27
Abby Sage,1UEAXN8QlFq47J1vA68Z6k,Run to Me,0.611,0.76,166921,0.475,8.2e-06,2,0.127,-9.288,1,0.047,117.839,4,0.498,7
Jay Rock,6zaywrggIpaM7Ghgvgjb8R,WIN,0.0152,0.879,215227,0.595,0.0,1,0.391,-2.9360000000000004,1,0.0889,125.994,4,0.355,55
Cody Currie,27kJtsWGn33eKx3Wmk18xl,Ode To Eddy - Mixed,0.039,0.8690000000000001,186346,0.682,0.4379999999999999,6,0.0594,-8.246,0,0.108,123.02,4,0.555,30
Alex Guthrie,29cjqXijzyF1yuLTRskAfI,Is It Me,0.196,0.7509999999999999,186259,0.56,1.02e-06,6,0.348,-6.606,0,0.0497,102.047,4,0.413,17
Los Baby's,1GmOxiFpe3rDigl615k7TG,La Cicatríz,0.465,0.6459999999999999,191573,0.37,0.0,9,0.0601,-14.892,0,0.0376,113.875,3,0.627,16
GASHI,6MDjeiUWPPgEwLtiBrr9he,My Year,0.206,0.8420000000000001,190345,0.8079999999999999,0.0,11,0.258,-3.2430000000000003,0,0.0491,145.03,4,0.705,75
Lior Narkis,4FAtzaaTJEcwUjWPwlFhr2,Full Moon,0.176,0.606,206978,0.925,0.0,8,0.3339999999999999,-3.869,1,0.144,131.928,4,0.265,34
Eagles,1Y7f2z6v8eCpuMzVCdnpuS,After The Thrill Is Gone - Remastered,0.407,0.5720000000000001,236664,0.358,0.00573,7,0.122,-10.168,1,0.0292,77.232,4,0.405,27
Solstis,07zI8292YEOQvNA1gNptUj,Serenity,0.00251,0.382,334667,0.635,0.0264,5,0.0491,-6.459,1,0.0317,90.071,4,0.0353,22
Carl Perkins,2OMHgBFamkqMr8S3SH4tEZ,All by Myself,0.425,0.655,207787,0.7,0.000393,2,0.11,-9.259,1,0.13,160.5,4,0.887,28
Said the Sky,57e8ixXqy4XCkbpTw97Q9K,Over Getting Over You,0.286,0.615,221250,0.746,0.0,9,0.096,-5.255,1,0.0639,127.995,4,0.355,49
Brian Owens,2RONhC3MSnfZx3P7b3csF5,A Change Is Gonna Come,0.391,0.619,276609,0.405,5.97e-06,10,0.0736,-6.8020000000000005,1,0.0273,128.958,3,0.562,44
Brad & Rebekah,3EIiTl1CdUrWankui235D6,The Story,0.536,0.2269999999999999,237795,0.5870000000000001,5.24e-05,10,0.1169999999999999,-7.995,1,0.0407,140.072,4,0.102,7
Alex Sonata,7c73xj7VTBjDWqsUx1jG67,Universal (ASOT 908),0.000333,0.518,225180,0.78,0.0206,6,0.125,-13.114,0,0.0516,129.875,4,0.245,43
Mission Impact,5m9g4L1ecxY8MirYkrqRHc,Open This Up,0.291,0.607,141740,0.545,0.535,9,0.253,-17.697,1,0.0429,123.621,4,0.913,0
King Rawllie,3HJ7HNnC3YDgRyspstyW59,Not at All,0.835,0.746,241398,0.421,0.0,6,0.0935,-13.814,0,0.136,112.015,4,0.6409999999999999,0
Dan Bull,1z1BXb8P8SjG3qXov4hasa,The New Colossus - Wolfenstein Rap,0.0436,0.614,285264,0.91,0.0,1,0.0812,-3.933,1,0.2289999999999999,119.901,4,0.22,26
Van Morrison,5oFyiVgVwzDNIFEzTp1pKa,The Healing Game,0.4589999999999999,0.437,316640,0.427,7.219999999999999e-05,0,0.123,-10.354,1,0.0466,126.253,4,0.565,34
MNEK,6QbCAeT8s6mVzrJP2tvtOx,Background,0.134,0.6409999999999999,89326,0.5379999999999999,0.0,11,0.156,-7.411,0,0.266,136.882,1,0.357,30
